path,size_bytes,separator,status,rows,error
SCADA/2019_07/Export_2019-07-11 02-09-43.825_[2019-07-10 00-00-00.000]_[2019-07-11 00-00-00.000].csv,40144627,;,processed,1029870,
SCADA/2019_07/Export_2019-07-12 02-09-44.878_[2019-07-11 00-00-00.000]_[2019-07-12 00-00-00.000].csv,40464200,;,processed,1037759,
SCADA/2019_07/Export_2019-07-13 02-09-45.868_[2019-07-12 00-00-00.000]_[2019-07-13 00-00-00.000].csv,43005702,;,processed,1104763,
SCADA/2019_07/Export_2019-07-14 02-09-46.983_[2019-07-13 00-00-00.000]_[2019-07-14 00-00-00.000].csv,17519859,;,processed,450135,
SCADA/2019_07/Export_2019-07-15 02-09-47.974_[2019-07-14 00-00-00.000]_[2019-07-15 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_07/Export_2019-07-16 02-09-49.058_[2019-07-15 00-00-00.000]_[2019-07-16 00-00-00.000].csv,39912189,;,processed,1023774,
SCADA/2019_07/Export_2019-07-17 02-09-50.173_[2019-07-16 00-00-00.000]_[2019-07-17 00-00-00.000].csv,42224624,;,processed,1083923,
SCADA/2019_07/Export_2019-07-18 02-09-51.211_[2019-07-17 00-00-00.000]_[2019-07-18 00-00-00.000].csv,40911157,;,processed,1049950,
SCADA/2019_07/Export_2019-07-19 02-09-52.404_[2019-07-18 00-00-00.000]_[2019-07-19 00-00-00.000].csv,41028882,;,processed,1054679,
SCADA/2019_07/Export_2019-07-20 02-09-53.520_[2019-07-19 00-00-00.000]_[2019-07-20 00-00-00.000].csv,40499998,;,processed,1039975,
SCADA/2019_07/Export_2019-07-21 02-09-54.479_[2019-07-20 00-00-00.000]_[2019-07-21 00-00-00.000].csv,16066422,;,processed,412531,
SCADA/2019_07/Export_2019-07-22 02-09-55.329_[2019-07-21 00-00-00.000]_[2019-07-22 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_07/Export_2019-07-23 02-09-56.366_[2019-07-22 00-00-00.000]_[2019-07-23 00-00-00.000].csv,33564492,;,processed,860762,
SCADA/2019_07/Export_2019-07-24 02-09-57.560_[2019-07-23 00-00-00.000]_[2019-07-24 00-00-00.000].csv,43244511,;,processed,1110084,
SCADA/2019_07/Export_2019-07-25 02-09-58.706_[2019-07-24 00-00-00.000]_[2019-07-25 00-00-00.000].csv,38217358,;,processed,979860,
SCADA/2019_07/Export_2019-07-26 02-09-59.728_[2019-07-25 00-00-00.000]_[2019-07-26 00-00-00.000].csv,39958461,;,processed,1025132,
SCADA/2019_07/Export_2019-07-27 02-00-00.812_[2019-07-26 00-00-00.000]_[2019-07-27 00-00-00.000].csv,42215268,;,processed,1083756,
SCADA/2019_07/Export_2019-07-28 02-00-01.849_[2019-07-27 00-00-00.000]_[2019-07-28 00-00-00.000].csv,14811589,;,processed,380308,
SCADA/2019_07/Export_2019-07-29 02-00-02.824_[2019-07-28 00-00-00.000]_[2019-07-29 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_07/Export_2019-07-30 02-00-03.924_[2019-07-29 00-00-00.000]_[2019-07-30 00-00-00.000].csv,39326351,;,processed,1008484,
